restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
qGkxXn3E4Ea8OhQir6L8bA,송산스시,4,925,501,172,0,2306
00zfGHs26M31rx8qVSmTvA,이다 IDA,69,1319,286,69,3,2298
uMYJH0jJ75TIfMWzyMYBjA,스시코테이,47,761,501,108,249,2286
vjVPXlQBH401mpakgfc2Bg,돈탐구소,40,1644,12,85,3,2284
aAtdjauWoPhpst5C8i5vCQ,스시도온,34,1084,501,101,21,2281
AePCN6LGQLyt-uhFfqmR1A,스시키,50,1134,501,74,25,2280
QC3D_ipjJXsGTQWN2YsDpw,스시시안,36,889,26,161,380,2280
PkNoP0RxI8D4YcJaHbjS5g,유루유루스시,23,1267,501,79,0,2278
oGrExyQhGDIeoK2h8sbzwA,몽탄 제주점,35,1780,171,25,26,2277
95K-_wJ-6j2SDhUSE1zUpw,알라프리마,230,792,44,49,36,2267
La6hiUOvaPyInnsqaas2kw,이요이요 용강4호점,15,1166,501,101,3,2250
3K_tEjKmnOW9rYiameaKdA,비아톨레도 파스타바,153,422,125,130,282,2244
EfpIDpkb7nPpZ8Ol1sH_Kg,디핀 deepin,45,864,597,89,111,2242
eHXdTHc2qTBVdV2DeqcuIA,녁,66,1183,486,48,3,2242
CgIbbKNbn1nd9i3toDMlJA,더담우,46,1366,406,47,0,2237
Zfq9Z-4ktXjebSlg3Iza0g,문츠바베큐,35,1676,50,47,99,2235
dNA0uJz0SpKuaVX-6UFG4g,쥬에,56,1278,174,90,29,2211
FElXAadAEgl2LOmNWvFrkQ,플레이버타운,162,872,23,97,16,2206
zKmX_jttrNZm7bH5SLuEqQ,스시마에,28,945,501,110,66,2202
AcCNddTxcgxJwLfX4XrTYw,레이호 스시,38,523,501,181,80,2199
4ZJb6kb0OX1MLD2gmTvAYg,사이카쿠,50,766,501,128,41,2198
Cq_k-PI6Ef6nd-IrENsMDQ,스무고개,47,1648,142,34,0,2195
DQmyh8_Q2W3KSX6xVMevOw,스시 다이이치,73,1055,501,51,19,2195
whHLSDEQk6aj0eHui-OVNQ,예우,42,1383,142,91,0,2190
iUJzgJ4O0T7-Rag_-kmGeQ,스시도손,48,1015,501,86,0,2186
pg2-pj_qzjw4LsyZCiGBtw,이타루,17,462,501,152,368,2176
3nDOU0jNEXGRpHYmbLQVCQ,스시나미키,69,735,501,105,57,2163
XUxNokcxAPfJwuQHAWNs0w,치즈룸 안다즈,40,1053,486,83,7,2161
fE10Mv8RxzNj_MlJ7I0Tew,오오키,73,395,501,146,169,2160
yd_i8XIlFJAZvFphm7eqYg,보보식당,29,1157,174,130,31,2157
NtEHAtLToTgTa7WrB5ZAXA,라미띠에,216,780,141,26,25,2156
TbCttnuEn9qO8WR47ArbTQ,호시카와,21,744,501,159,4,2149
Yp1yCquxW0KcxhiCywvQPw,스시코호시,16,1016,501,93,83,2145
YUtYdsahwJDZpRv9Q3WftQ,스시미루,74,796,501,78,86,2143
hTSurt2KhYq86GwQyzFUmQ,가마메시야 울림,21,1205,307,101,18,2140
LpYNSN52Nv1ALaRSsB_k8w,뻬를라,41,886,32,190,63,2136
knTUYxSdvTmj2VYrZ67vMw,차경,131,752,597,24,7,2131
V0SNE_bpiuk-rbERvpmqbA,스시이도 오코노미,50,507,501,153,107,2130
e-ri9xpLcN74aH4klIn16g,스시소요,127,527,501,93,0,2128
DLArwOoc6G6kIxf3icBGPQ,우물집 창신점,48,1408,286,36,3,2117
yaGdSH6rp9yBcAMHm_p3qg,이타닉가든,106,854,104,102,117,2115
C5rjvTwXpslNnxuaL7wUWw,수블,26,782,597,120,3,2112
RuhNRIVgH0PGIMAWe0-L1w,하나스시,16,628,501,179,0,2104
QXzWh6nJqHMDZpQ54vBYCA,치즈룸X테이스팅룸 월드몰,22,1169,486,56,55,2100
TdGcFA0JY4QJAInLIlrOcw,미우치,15,844,501,136,0,2100
62TjFFpvKOj38d5sUge0rQ,바이킹스워프 코엑스점,8,1868,26,30,7,2091
Bmo0t_bBkLDAFALz7cYG6Q,권숙수,127,819,286,43,132,2087
47jHT01fp_nCI0cT-mo03Q,온6.5,86,943,597,21,3,2078
mpcUsTiubnTp6wy7QVOqJw,어성일식,59,1065,501,42,6,2077
Dmg7K0wEE6_LmUbsHZUdjg,스시만월,5,803,501,149,0,2074
_MVGtC4mbPBSC5YhQUoDkQ,판교스시쿤,20,918,501,109,7,2071
nzwE5Qm8BUPdjIktC1xWmQ,스시사,54,396,501,138,213,2070
vIz7iLyaVVsa1bVrJinH_A,이요이요 파크자이 3호점,14,1065,501,84,12,2068
NE01a99KC78ZPEvK7UYxZw,타쿠미곤,63,592,501,116,72,2060
kqpBUoFAeLKDmKw6sxSfmg,갓포이찌,7,792,307,185,0,2059
c4f19IdXsMGWP6KKADSOdw,스시우미 광화문,43,843,501,94,30,2059
7_ivxxQ1KgLb3tCngwh4qQ,롱플레이,22,1587,58,60,0,2055
r2Lqj8JhaPXKc5_PoCtiaA,스시윤슬,58,522,501,129,87,2045
x5znKYoSpLq9uGvmpj02aw,키이로,62,634,3,168,258,2045
WJvZz9JHgUEilmRRGSKziw,스시쿠루미,167,428,501,43,66,2045
mrSV1aTZwtEwC1zQ7pCmEw,탐복,14,1289,286,79,0,2040
9cmna3g_l63JiPoljssVvw,율링(yulling),40,1139,142,101,53,2039
